K,N,M,T,Baseline Cycles,Baseline Performance,WIP Scalar Cycles,WIP Scalar Performance,Josua Cycles,Josua Performance
8,16,4,24,873610.000000,1.050000,683085.000000,1.340000,683585.000000,1.340000
8,16,4,28,989356.000000,1.080000,791393.000000,1.360000,796837.000000,1.350000
8,16,8,4,146805.000000,0.960000,115437.000000,1.220000,123519.000000,1.140000
8,16,8,8,301178.000000,0.980000,240300.000000,1.230000,241792.000000,1.230000
8,16,8,12,434252.000000,1.040000,348608.000000,1.300000,384633.000000,1.180000
8,16,8,16,615402.000000,0.990000,515920.000000,1.180000,537398.000000,1.130000
8,16,8,20,746447.000000,1.020000,602640.000000,1.270000,608736.000000,1.250000
8,16,8,24,884586.000000,1.040000,718994.000000,1.280000,712042.000000,1.290000
8,16,8,28,1070781.000000,1.000000,852576.000000,1.260000,853078.000000,1.260000
8,16,12,4,152856.000000,0.940000,120674.000000,1.190000,138594.000000,1.030000
8,16,12,8,313378.000000,0.950000,255489.000000,1.170000,252777.000000,1.180000
8,16,12,12,470138.000000,0.970000,380819.000000,1.190000,383204.000000,1.190000
8,16,12,16,636304.000000,0.960000,520548.000000,1.170000,525476.000000,1.160000
8,16,12,20,784176.000000,0.980000,640785.000000,1.200000,645797.000000,1.190000
8,16,12,24,964864.000000,0.960000,784767.000000,1.170000,772545.000000,1.190000
8,16,12,28,1131186.000000,0.950000,960009.000000,1.120000,945358.000000,1.140000
8,16,16,4,163304.000000,0.890000,141791.000000,1.020000,140177.000000,1.040000
8,16,16,8,361702.000000,0.830000,284468.000000,1.060000,277449.000000,1.080000
8,16,16,12,507519.000000,0.900000,419243.000000,1.090000,421471.000000,1.080000
8,16,16,16,685401.000000,0.890000,562575.000000,1.090000,562149.000000,1.090000
8,16,16,20,860996.000000,0.890000,691643.000000,1.110000,702642.000000,1.090000
8,16,16,24,1090587.000000,0.850000,828504.000000,1.120000,813636.000000,1.140000
8,16,16,28,1222955.000000,0.880000,1008787.000000,1.070000,1007181.000000,1.070000
8,16,20,4,174295.000000,0.850000,142999.000000,1.030000,155521.000000,0.950000
8,16,20,8,355067.000000,0.850000,326416.000000,0.930000,295605.000000,1.030000
8,16,20,12,532507.000000,0.860000,515147.000000,0.890000,442590.000000,1.040000
8,16,20,16,711692.000000,0.860000,590928.000000,1.040000,598469.000000,1.030000
8,16,20,20,951916.000000,0.810000,747764.000000,1.030000,781797.000000,0.990000
8,16,20,24,1126107.000000,0.820000,886900.000000,1.040000,891988.000000,1.040000
8,16,20,28,1309292.000000,0.830000,1077572.000000,1.000000,1089028.000000,0.990000
8,16,24,4,184628.000000,0.810000,154283.000000,0.970000,162706.000000,0.920000
8,16,24,8,397955.000000,0.770000,314864.000000,0.970000,306290.000000,1.000000
8,16,24,12,554774.000000,0.830000,550683.000000,0.840000,466970.000000,0.990000
8,16,24,16,749001.000000,0.820000,627336.000000,0.980000,702223.000000,0.880000
8,16,24,20,1009505.000000,0.770000,824350.000000,0.940000,840734.000000,0.920000
8,16,24,24,1217244.000000,0.760000,954280.000000,0.970000,1040750.000000,0.890000
8,16,24,28,1354528.000000,0.800000,1116119.000000,0.970000,1136026.000000,0.950000
8,16,28,4,195189.000000,0.780000,169567.000000,0.900000,182825.000000,0.830000
8,16,28,8,386046.000000,0.800000,341272.000000,0.900000,323248.000000,0.950000
8,16,28,12,638151.000000,0.730000,569071.000000,0.810000,556284.000000,0.830000
8,16,28,16,787787.000000,0.790000,661213.000000,0.940000,662383.000000,0.930000
8,16,28,20,1066810.000000,0.730000,922653.000000,0.840000,900972.000000,0.860000
8,16,28,24,1326617.000000,0.700000,1009466.000000,0.920000,1012143.000000,0.920000
8,16,28,28,1532494.000000,0.710000,1211885.000000,0.900000,1301609.000000,0.830000
8,20,4,4,194882.000000,1.090000,148033.000000,1.440000,157810.000000,1.350000
8,20,4,8,396099.000000,1.150000,309557.000000,1.470000,341204.000000,1.330000
8,20,4,12,597035.000000,1.160000,503559.000000,1.380000,490709.000000,1.420000
8,20,4,16,800173.000000,1.170000,641755.000000,1.460000,647572.000000,1.440000
8,20,4,20,1020674.000000,1.150000,817789.000000,1.440000,818923.000000,1.440000
8,20,4,24,1239663.000000,1.140000,984363.000000,1.440000,1040778.000000,1.360000
8,20,4,28,1458164.000000,1.140000,1160936.000000,1.430000,1169417.000000,1.420000
8,20,8,4,209458.000000,1.030000,173799.000000,1.240000,170886.000000,1.260000
8,20,8,8,431704.000000,1.060000,343519.000000,1.330000,346947.000000,1.320000
8,20,8,12,641096.000000,1.090000,534219.000000,1.310000,595798.000000,1.170000
8,20,8,16,855869.000000,1.100000,693034.000000,1.350000,696012.000000,1.350000
8,20,8,20,1094954.000000,1.080000,904125.000000,1.300000,895667.000000,1.320000
8,20,8,24,1368832.000000,1.040000,1052740.000000,1.350000,1045022.000000,1.360000
8,20,8,28,1610160.000000,1.030000,1297773.000000,1.280000,1300612.000000,1.280000
8,20,12,4,229150.000000,0.950000,174382.000000,1.250000,187801.000000,1.160000
8,20,12,8,456867.000000,1.010000,362398.000000,1.270000,367242.000000,1.250000
8,20,12,12,716428.000000,0.980000,545332.000000,1.280000,556748.000000,1.260000
8,20,12,16,882175.000000,1.070000,724823.000000,1.300000,721797.000000,1.300000
8,20,12,20,1130388.000000,1.050000,920254.000000,1.280000,981320.000000,1.200000
8,20,12,24,1412525.000000,1.010000,1128712.000000,1.260000,1115462.000000,1.270000
8,20,12,28,1652959.000000,1.010000,1349661.000000,1.230000,1361324.000000,1.220000
8,20,16,4,235983.000000,0.940000,188885.000000,1.170000,201613.000000,1.100000
8,20,16,8,479965.000000,0.960000,383619.000000,1.200000,393900.000000,1.170000
8,20,16,12,710382.000000,0.990000,580551.000000,1.210000,587316.000000,1.200000
8,20,16,16,954910.000000,0.990000,854275.000000,1.100000,779199.000000,1.210000
8,20,16,20,1225976.000000,0.970000,974737.000000,1.210000,1016111.000000,1.170000
8,20,16,24,1498326.000000,0.950000,1294216.000000,1.100000,1206833.000000,1.180000
8,20,16,28,1884414.000000,0.880000,1512470.000000,1.100000,1516098.000000,1.100000
8,20,20,4,249431.000000,0.900000,201121.000000,1.110000,211445.000000,1.060000
8,20,20,8,503124.000000,0.920000,409490.000000,1.140000,409055.000000,1.140000
8,20,20,12,743153.000000,0.950000,672301.000000,1.050000,666050.000000,1.060000
8,20,20,16,999884.000000,0.950000,832918.000000,1.140000,833561.000000,1.140000
8,20,20,20,1311143.000000,0.910000,1044708.000000,1.140000,1079798.000000,1.100000
